alpha,stacks,adv,seed,sym_recall,sym_fpr,sym_precision,sym_f1,sym_n_ja4,rf_auc,rf_recall_fpr0,rf_recall_fpr1
1.5,5,1,15,0.199,0.031,0.8652173913043478,0.32357723577235775,1,0.8393277777777778,0.11333333333333333,0.19666666666666666
1.5,25,1,1,0.266,0.046,0.8525641025641025,0.40548780487804875,8,0.8729055555555555,0.03666666666666667,0.24333333333333335
1.5,25,1,2,0.307,0.043,0.8771428571428571,0.45481481481481484,8,0.8708111111111111,0.0,0.24666666666666667
1.5,25,1,3,0.309,0.033,0.9035087719298246,0.46050670640834573,8,0.8770944444444445,0.02666666666666667,0.37333333333333335
1.5,25,1,4,0.34,0.045,0.8831168831168831,0.4909747292418773,9,0.8714333333333333,0.11333333333333333,0.23666666666666666
1.5,25,1,5,0.317,0.032,0.9083094555873925,0.4699777613046701,9,0.841661111111111,0.2,0.25
1.5,25,1,6,0.241,0.036,0.8700361010830325,0.37744714173844945,7,0.8752444444444446,0.03333333333333333,0.21333333333333335
1.5,25,1,7,0.344,0.044,0.8865979381443299,0.4956772334293948,9,0.8623777777777779,0.0033333333333333335,0.24333333333333335
1.5,25,1,8,0.265,0.025,0.9137931034482759,0.41085271317829464,7,0.82375,0.08,0.13
1.5,25,1,9,0.307,0.036,0.8950437317784257,0.45718540580789274,8,0.8532277777777777,0.14,0.18666666666666668
1.5,25,1,10,0.26,0.028,0.9027777777777778,0.4037267080745341,7,0.8672388888888888,0.07,0.16666666666666666
1.5,25,1,11,0.307,0.037,0.8924418604651163,0.45684523809523814,8,0.8962666666666668,0.08333333333333333,0.3
1.5,25,1,12,0.284,0.043,0.8685015290519877,0.428033157498116,8,0.8850777777777777,0.08333333333333333,0.2733333333333333
1.5,25,1,13,0.381,0.049,0.8860465116279069,0.5328671328671329,10,0.8423111111111112,0.0,0.2
1.5,25,1,14,0.316,0.031,0.9106628242074928,0.4691907943578322,9,0.8284333333333334,0.10666666666666667,0.16666666666666666
1.5,25,1,15,0.317,0.039,0.8904494382022472,0.46755162241887904,9,0.8559055555555556,0.18666666666666668,0.27666666666666667
2.0,25,1,1,0.531,0.033,0.9414893617021277,0.6790281329923274,15,0.9220333333333334,0.15666666666666668,0.27666666666666667
2.0,25,1,2,0.53,0.034,0.9397163120567376,0.6777493606138107,14,0.9267666666666666,0.10666666666666667,0.2966666666666667
2.0,25,1,3,0.491,0.027,0.9478764478764479,0.6469038208168643,14,0.9301555555555556,0.21666666666666667,0.3433333333333333
2.0,25,1,4,0.514,0.035,0.936247723132969,0.6636539703034215,14,0.9231111111111111,0.023333333333333334,0.43666666666666665
2.0,25,1,5,0.459,0.028,0.9425051334702259,0.6173503698722259,13,0.9033500000000001,0.006666666666666667,0.21333333333333335
2.0,25,1,6,0.492,0.036,0.9318181818181818,0.6439790575916231,14,0.9173277777777777,0.0,0.23333333333333334
2.0,25,1,7,0.491,0.027,0.9478764478764479,0.6469038208168643,13,0.909461111111111,0.03,0.17666666666666667
2.0,25,1,8,0.492,0.041,0.9230769230769231,0.6418786692759296,14,0.8929722222222223,0.08,0.2633333333333333
2.0,25,1,9,0.523,0.04,0.9289520426287744,0.6692258477287268,14,0.9042444444444444,0.03,0.25333333333333335
2.0,25,1,10,0.54,0.025,0.9557522123893806,0.6900958466453674,14,0.9262,0.03666666666666667,0.22333333333333333
2.0,25,1,11,0.548,0.04,0.9319727891156463,0.6901763224181361,15,0.9355,0.22666666666666666,0.36
2.0,25,1,12,0.495,0.032,0.9392789373814042,0.6483300589390962,14,0.9295444444444446,0.21,0.4033333333333333
2.0,25,1,13,0.518,0.03,0.9452554744525548,0.669250645994832,14,0.9215,0.11,0.22
2.0,25,1,14,0.503,0.033,0.9384328358208955,0.6549479166666667,14,0.9073666666666667,0.09333333333333334,0.32666666666666666
2.0,25,1,15,0.501,0.03,0.943502824858757,0.6544741998693665,14,0.8982722222222224,0.09,0.26666666666666666
